signal_strength,network_load,user_speed,call_duration,tower_distance,packet_loss,dropped_call,signal_quality,mobility_level,load_category,call_risk_score
-112,97,101,511,7.24,3.56,1,Poor,High,High,108.0
-120,78,103,142,3.34,0.21,1,Poor,High,High,69.30000000000001
-113,93,57,62,6.33,0.65,1,Poor,Medium,High,77.6
-58,48,12,459,6.64,0.53,0,Good,Low,Medium,41.900000000000006
-110,22,49,71,7.36,2.93,1,Poor,Medium,Low,71.1
-113,50,100,32,8.98,1.21,1,Poor,High,Medium,66.0
-86,66,5,53,4.38,0.83,0,Moderate,Low,Medium,60.5
-86,62,84,567,1.75,2.96,0,Moderate,High,Medium,80.2
-88,21,50,56,3.26,3.81,1,Moderate,Medium,Low,72.9
-116,22,35,33,4.38,1.66,1,Poor,Medium,Low,60.199999999999996
-80,83,70,98,7.17,2.89,1,Moderate,High,High,86.10000000000001
-93,66,99,183,0.23,0.49,0,Moderate,High,Medium,59.2
-114,49,24,585,3.23,4.68,1,Poor,Medium,Medium,100.6
-109,89,10,128,7.82,1.68,1,Poor,Low,High,85.1
-87,54,43,187,6.74,,1,Moderate,Medium,Medium,72.31438888888889
-88,44,13,351,7.34,,1,Moderate,Low,Medium,68.6143888888889
-73,12,108,577,8.14,,1,Good,High,Low,51.314388888888885
-98,14,28,68,7.85,0.1,1,Poor,Medium,Low,36.0
-59,99,73,447,6.85,2.72,1,Good,High,High,84.50000000000001
-84,20,49,437,4.45,0.43,0,Moderate,Medium,Low,37.5
-77,80,111,435,9.84,4.48,1,Moderate,High,High,99.9
-86,65,4,390,5.73,3.95,1,Moderate,Low,Medium,91.3
-56,19,71,495,2.11,4.86,1,Good,High,Low,73.0
-74,43,109,194,3.0,3.04,0,Good,High,Medium,69.8
-118,76,68,568,6.97,2.61,1,Poor,High,High,91.9
-120,81,87,469,9.25,2.59,1,Poor,High,High,94.3
-116,40,103,111,1.87,1.93,1,Poor,High,Low,70.1
-107,84,56,565,0.92,2.34,1,Poor,Medium,High,89.1
-94,80,25,24,8.83,3.18,0,Moderate,Medium,High,92.0
-112,75,5,60,9.16,4.66,1,Poor,Low,High,110.19999999999999
-106,79,15,318,2.84,,1,Poor,Low,High,88.01438888888889
-79,50,59,43,3.84,4.29,1,Moderate,Medium,Medium,86.6
-70,72,99,598,6.64,4.31,1,Good,High,High,92.89999999999999
-58,41,11,214,3.37,2.59,0,Good,Low,Medium,59.699999999999996
-69,29,74,79,8.78,1.74,0,Good,High,Low,49.7
-117,66,2,239,1.17,3.2,1,Poor,Low,Medium,93.5
-98,59,62,489,0.48,2.23,1,Poor,High,Medium,75.30000000000001
-106,89,107,542,2.16,,1,Poor,High,High,92.01438888888889
-78,34,63,117,2.93,1.89,0,Moderate,High,Low,55.9
-92,21,61,250,1.22,4.97,1,Moderate,High,Low,85.69999999999999
-85,80,100,260,0.75,0.24,0,Moderate,High,High,59.9
-108,48,5,144,7.58,,1,Poor,Low,Medium,76.21438888888889
-89,26,18,99,1.73,4.21,1,Moderate,Low,Low,79.2
-62,54,17,449,9.15,3.24,0,Good,Low,Medium,72.60000000000001
-93,20,79,307,3.74,2.85,0,Moderate,High,Low,64.4
-55,79,86,416,6.74,,1,Good,High,High,72.71438888888889
-79,32,42,317,2.33,2.15,0,Moderate,Medium,Low,58.0
-76,79,100,111,2.48,0.46,0,Moderate,High,High,59.0
-59,47,72,370,5.79,4.81,1,Good,High,Medium,84.6
-64,11,2,537,5.65,2.16,0,Good,Low,Low,45.2
-115,95,71,302,7.71,,1,Poor,High,High,97.1143888888889
-93,93,37,155,7.6,2.66,1,Moderate,Medium,High,91.7
-93,98,67,413,6.74,0.27,1,Moderate,High,High,69.80000000000001
-77,88,75,11,4.55,4.76,1,Moderate,High,High,105.89999999999999
-91,81,43,128,8.92,3.96,1,Moderate,Medium,High,99.3
-59,46,94,200,6.26,0.75,0,Good,High,Medium,43.6
-59,58,88,12,9.9,4.91,1,Good,High,Medium,90.00000000000001
-120,61,116,496,8.21,3.68,1,Poor,High,Medium,97.2
-94,42,79,186,0.54,2.36,0,Moderate,High,Medium,68.6
-59,31,62,266,3.27,3.06,0,Good,High,Low,60.7
-118,14,41,543,5.76,,1,Poor,Medium,Low,65.6143888888889
-51,27,63,486,7.24,2.8,0,Good,High,Low,54.099999999999994
-94,47,53,407,5.55,0.37,0,Moderate,Medium,Medium,50.7
-112,46,77,505,7.88,2.72,1,Poor,High,Medium,79.20000000000002
-59,73,76,229,2.9,2.76,0,Good,High,High,74.5
-84,19,104,182,1.92,4.37,1,Moderate,High,Low,76.5
-70,88,70,399,0.63,3.63,1,Good,High,High,92.5
-77,51,75,511,5.78,1.25,0,Moderate,High,Medium,56.0
-97,57,36,586,6.92,4.44,1,Poor,Medium,Medium,96.3
-62,53,113,269,3.33,,0,Good,High,Medium,64.4143888888889
-89,91,3,140,6.17,3.03,1,Moderate,Low,High,93.39999999999999
-69,96,1,122,0.62,0.84,1,Good,Low,High,67.5
-59,25,98,29,1.08,4.29,1,Good,High,Low,70.6
-63,63,43,224,7.05,,1,Good,Medium,Medium,68.71438888888889
-69,44,66,319,3.74,3.87,1,Good,High,Medium,77.0
-109,37,67,260,6.75,4.7,1,Poor,High,Low,94.5
-82,11,101,497,8.33,1.51,0,Moderate,High,Low,44.099999999999994
-119,22,75,391,8.54,4.31,1,Poor,High,Low,87.6
-118,50,82,418,1.8,2.44,1,Poor,High,Medium,79.8
-65,89,73,280,4.91,0.82,1,Good,High,High,63.3
-62,68,61,416,7.37,,0,Good,High,Medium,70.4143888888889
-119,78,0,203,7.76,3.42,1,Poor,Low,High,101.1
-119,62,16,450,7.87,1.43,1,Poor,Low,Medium,74.8
-67,54,15,322,2.36,,0,Good,Low,Medium,66.31438888888889
-120,29,8,88,2.01,1.0,1,Poor,Low,Low,57.6
-102,33,52,189,5.94,2.0,1,Poor,Medium,Low,63.8
-119,70,72,23,7.44,0.84,1,Poor,High,Medium,72.1
-68,67,58,255,3.26,0.97,0,Good,Medium,Medium,56.9
-77,36,118,23,1.14,,0,Moderate,High,Low,62.11438888888888
-89,35,8,108,7.2,4.81,1,Moderate,Low,Low,88.8
-51,16,11,42,3.07,,1,Good,Low,Low,46.314388888888885
-89,51,118,445,1.75,1.6,0,Moderate,High,Medium,63.10000000000001
-53,56,40,266,1.56,4.76,1,Good,Medium,Medium,85.9
-66,62,14,43,3.22,,0,Good,Low,Medium,69.21438888888889
-65,68,65,28,5.97,2.28,0,Good,High,Medium,69.5
-104,47,74,269,3.65,2.34,1,Poor,High,Medium,73.4
-83,78,10,598,0.3,2.05,0,Moderate,Low,High,76.6
-97,96,7,425,1.06,1.16,1,Poor,Low,High,79.10000000000001
-52,62,54,146,2.98,,0,Good,Medium,Medium,65.01438888888889
-51,24,95,368,6.63,2.64,0,Good,High,Low,51.3
-110,35,5,588,1.08,2.64,1,Poor,Low,Low,73.4
-105,57,52,125,5.65,3.81,1,Poor,Medium,Medium,92.4
-62,28,19,413,1.29,1.79,0,Good,Low,Low,47.7
-51,18,38,211,2.19,3.58,1,Good,Medium,Low,58.3
-118,73,98,385,1.8,2.89,1,Poor,High,High,93.5
-101,63,71,259,0.77,4.81,1,Poor,High,Medium,103.6
-62,60,113,455,6.75,1.93,0,Good,High,Medium,61.89999999999999
-85,48,112,287,4.69,4.51,1,Moderate,High,Medium,89.8
-102,13,106,121,8.33,4.1,1,Poor,High,Low,76.8
-54,12,33,482,1.08,3.19,0,Good,Medium,Low,52.900000000000006
-102,73,56,401,1.53,3.27,1,Poor,Medium,High,92.5
-101,38,116,152,3.13,0.42,1,Poor,High,Low,49.7
-69,20,119,41,7.68,4.75,1,Good,High,Low,76.2
-88,67,18,190,3.13,0.53,0,Moderate,Low,Medium,58.5
-81,84,70,588,4.14,2.82,1,Moderate,High,High,86.1
-82,36,30,525,3.09,1.65,0,Moderate,Medium,Low,55.5
-120,30,81,278,0.89,2.15,1,Poor,High,Low,69.5
-110,48,39,245,9.4,3.05,1,Poor,Medium,Medium,82.7
-64,55,13,286,5.53,4.54,1,Good,Low,Medium,86.60000000000001
-71,75,102,562,7.9,2.29,0,Good,High,High,74.2
-98,45,116,284,6.62,4.94,1,Poor,High,Medium,96.80000000000001
-90,84,99,95,5.19,2.96,1,Moderate,High,High,90.2
-79,91,80,72,0.99,0.8,1,Moderate,High,High,68.1
-114,74,36,413,6.46,0.95,1,Poor,Medium,High,73.3
-105,72,43,201,1.64,3.58,1,Poor,Medium,High,96.1
-61,44,8,302,4.2,0.25,0,Good,Low,Medium,38.400000000000006
-119,40,57,40,6.33,2.4,1,Poor,Medium,Low,75.69999999999999
-120,37,19,339,7.84,0.74,1,Poor,Low,Low,58.2
-73,10,108,116,6.88,2.17,0,Good,High,Low,47.599999999999994
-109,34,91,285,6.75,3.75,1,Poor,High,Low,83.8
-52,52,49,565,1.58,2.29,0,Good,Medium,Medium,59.300000000000004
-84,93,19,91,3.53,0.82,1,Moderate,Low,High,70.60000000000001
-89,76,104,73,0.52,,0,Moderate,High,High,81.71438888888889
-112,72,35,576,7.22,1.84,1,Poor,Medium,High,80.80000000000001
-102,60,116,595,9.53,,1,Poor,High,Medium,79.21438888888889
-73,11,26,138,2.71,2.92,0,Good,Medium,Low,55.5
-118,91,71,265,0.97,3.04,1,Poor,High,High,102.19999999999999
-101,73,31,240,4.81,0.31,1,Poor,Medium,High,62.6
-97,83,0,506,8.58,2.01,1,Poor,Low,High,82.39999999999999
-67,78,16,146,5.56,2.07,0,Good,Low,High,72.0
-88,18,8,464,0.56,1.67,0,Moderate,Low,Low,50.3
-97,11,83,364,9.75,2.79,1,Poor,High,Low,61.39999999999999
-85,43,44,494,8.3,1.73,0,Moderate,Medium,Medium,60.0
-83,69,95,155,1.4,2.08,0,Moderate,High,Medium,73.30000000000001
-96,70,65,42,9.23,3.99,1,Poor,High,Medium,96.7
-103,40,31,269,4.56,0.81,1,Poor,Medium,Low,55.0
-55,19,44,96,3.78,3.1,0,Good,Medium,Low,55.1
-67,85,8,274,4.66,2.53,1,Good,Low,High,79.39999999999999
-86,45,29,551,8.36,1.53,0,Moderate,Medium,Medium,59.099999999999994
-60,94,83,401,6.63,,1,Good,High,High,80.21438888888889
-80,58,37,241,0.69,2.76,0,Moderate,Medium,Medium,74.8
-88,79,59,597,9.58,2.39,0,Moderate,Medium,High,81.9
-53,58,0,456,1.56,3.34,0,Good,Low,Medium,72.5
-88,12,4,138,7.48,4.01,1,Moderate,Low,Low,71.29999999999998
-107,83,62,280,6.4,,1,Poor,High,High,89.9143888888889
-100,14,98,98,1.96,3.15,1,Poor,High,Low,67.1
-73,99,35,475,1.79,4.37,1,Good,Medium,High,105.20000000000002
-101,70,64,179,8.72,0.01,1,Poor,High,Medium,58.4
-113,94,77,137,4.25,,1,Poor,High,High,96.1143888888889
-114,99,72,183,6.58,1.07,1,Poor,High,High,84.5
-54,35,93,35,5.09,,0,Good,High,Low,54.814388888888885
-104,81,23,582,7.3,2.66,1,Poor,Medium,High,90.2
-88,14,3,520,4.84,3.73,1,Moderate,Low,Low,69.3
-73,24,113,497,2.95,2.06,0,Good,High,Low,52.1
-62,25,77,588,3.7,3.35,0,Good,High,Low,62.099999999999994
-99,10,88,415,8.6,2.45,1,Poor,High,Low,58.2
-91,25,67,35,4.73,2.19,0,Moderate,High,Low,59.2
-83,46,24,92,2.21,1.45,0,Moderate,Medium,Medium,57.800000000000004
-70,12,73,373,9.35,1.91,0,Good,High,Low,44.9
-67,61,98,376,7.99,1.75,0,Good,High,Medium,62.0
-113,56,118,69,0.65,3.23,1,Poor,High,Medium,88.6
-94,22,6,560,9.99,0.58,0,Moderate,Low,Low,42.8
-94,89,105,301,6.98,0.46,1,Moderate,High,High,68.4
-100,64,12,200,1.69,3.3,1,Poor,Low,Medium,88.6
-91,30,67,470,2.45,2.73,0,Moderate,High,Low,66.6
-93,75,113,242,6.96,2.15,0,Moderate,High,High,79.4
-57,63,42,483,7.82,0.76,0,Good,Medium,Medium,49.900000000000006
-52,36,56,414,2.47,2.06,0,Good,Medium,Low,50.6
-60,47,35,280,2.64,3.95,1,Good,Medium,Medium,76.3
-73,99,119,143,3.14,4.45,1,Good,High,High,106.0
-102,67,13,180,6.02,3.51,1,Poor,Low,Medium,92.49999999999999
-117,71,81,424,1.8,0.3,1,Poor,High,High,66.5
-86,55,71,37,1.13,3.35,0,Moderate,High,Medium,81.3
-57,98,95,145,6.82,1.2,1,Good,High,High,68.3
-72,20,26,414,7.81,1.58,0,Good,Medium,Low,45.4
-104,81,105,514,5.06,0.98,1,Poor,High,High,73.4
-77,17,36,250,3.7,3.88,1,Moderate,Medium,Low,68.69999999999999
-91,80,86,453,4.38,3.24,0,Moderate,High,High,91.7
-75,73,70,443,3.95,3.06,0,Good,High,High,82.30000000000001
-115,30,75,237,9.6,,1,Poor,High,Low,71.1143888888889
-84,81,24,518,7.7,1.18,1,Moderate,Medium,High,69.39999999999999
-97,72,66,312,2.16,2.22,1,Poor,High,High,80.1
-75,94,89,43,3.9,3.17,1,Good,High,High,91.8
-68,73,3,11,5.49,3.18,0,Good,Low,High,81.4
-61,29,105,371,6.17,3.96,1,Good,High,Low,69.5
-58,17,99,204,4.74,1.44,0,Good,High,Low,38.599999999999994
-89,67,78,317,8.12,3.85,1,Moderate,High,Medium,92.0
-88,55,95,259,7.7,2.2,0,Moderate,High,Medium,70.4
-54,40,92,156,5.1,,0,Good,High,Low,56.814388888888885
-103,18,73,355,8.56,2.28,1,Poor,High,Low,60.89999999999999
-96,24,84,357,7.54,,1,Poor,High,Low,63.01438888888889
-67,35,117,263,7.81,0.9,0,Good,High,Low,43.099999999999994
-63,19,15,408,9.57,3.38,0,Good,Low,Low,60.3
-54,38,110,343,2.74,2.88,0,Good,High,Low,60.2
-75,89,18,185,2.75,0.86,1,Good,Low,High,66.7
-97,45,28,134,8.9,0.33,1,Poor,Medium,Medium,50.4
-89,93,115,407,7.75,4.0,1,Moderate,High,High,103.9
-74,46,50,140,9.27,0.79,0,Good,Medium,Medium,48.5
-98,95,17,571,0.72,0.93,1,Poor,Low,High,76.69999999999999
-55,80,57,416,6.31,4.89,1,Good,Medium,High,97.4
-94,32,43,343,1.53,3.59,1,Moderate,Medium,Low,76.9
-119,50,15,29,5.09,1.25,1,Poor,Low,Medium,68.19999999999999
-104,89,64,214,1.64,2.95,1,Poor,High,High,96.3
-88,37,111,364,1.37,2.67,0,Moderate,High,Low,67.9
-112,57,1,182,0.22,,1,Poor,Low,Medium,81.0143888888889
-78,47,55,198,6.34,3.65,1,Moderate,Medium,Medium,78.69999999999999
-73,40,78,11,3.65,4.16,1,Good,High,Low,79.5
-82,23,102,177,1.14,1.06,0,Moderate,High,Low,44.400000000000006
-79,82,27,377,3.3,3.2,1,Moderate,Medium,High,88.50000000000001
-95,97,64,545,1.77,0.2,1,Moderate,High,High,69.30000000000001
-71,86,4,589,9.42,0.34,1,Good,Low,High,59.099999999999994
-96,99,105,379,3.27,3.57,1,Poor,High,High,104.1
-97,38,21,446,3.41,0.12,1,Poor,Medium,Low,45.5
-108,60,116,216,8.41,2.9,1,Poor,High,Medium,85.4
-61,58,99,58,6.51,4.2,1,Good,High,Medium,83.5
-114,52,109,553,7.13,1.9,1,Poor,High,Medium,74.0
-64,81,12,138,6.4,0.22,1,Good,Low,High,53.8
-85,96,64,456,9.47,3.57,1,Moderate,High,High,99.6
-76,14,15,44,2.15,,1,Moderate,Low,Low,53.01438888888889
-101,51,118,208,9.89,3.59,1,Poor,High,Medium,86.6
-56,16,104,86,8.33,2.89,0,Good,High,Low,52.10000000000001
-113,51,85,378,5.93,,1,Poor,High,Medium,78.91438888888888
-105,45,63,535,6.66,0.08,1,Poor,High,Medium,50.3
-107,36,31,358,6.52,3.47,1,Poor,Medium,Low,81.2
-106,67,79,515,0.68,,1,Poor,High,Medium,83.21438888888889
-55,55,50,247,2.26,,1,Good,Medium,Medium,63.11438888888889
-89,75,78,289,9.62,2.33,0,Moderate,High,High,80.0
-58,34,57,586,5.39,2.65,0,Good,Medium,Low,57.5
-70,82,45,441,3.85,3.77,1,Good,Medium,High,91.5
-96,36,51,147,7.64,3.9,1,Poor,Medium,Low,82.19999999999999
-63,10,105,278,5.29,,0,Good,High,Low,47.51438888888889
-58,96,116,210,0.23,,1,Good,High,High,80.4143888888889
-59,83,62,151,7.39,4.91,1,Good,High,High,100.00000000000001
-99,51,75,364,7.35,4.73,1,Poor,High,Medium,97.4
-63,61,59,587,1.73,,1,Good,Medium,Medium,67.91438888888888
-63,34,64,338,9.57,3.53,1,Good,High,Low,67.8
-72,63,116,568,2.32,3.32,0,Good,High,Medium,80.0
-69,76,80,240,4.63,0.52,0,Good,High,High,56.3
-79,15,104,317,1.24,1.36,0,Moderate,High,Low,43.3
-51,67,54,155,6.07,0.03,0,Good,Medium,Medium,42.4
-106,79,114,161,3.82,0.69,1,Poor,High,High,70.3
-67,62,56,149,3.6,2.2,0,Good,Medium,Medium,66.89999999999999
-61,75,113,30,8.29,0.73,0,Good,High,High,55.599999999999994
-113,67,91,263,0.19,4.51,1,Poor,High,Medium,105.79999999999998
-68,91,70,73,8.0,4.03,1,Good,High,High,97.1
-61,96,72,227,5.76,0.36,1,Good,High,High,60.30000000000001
-116,11,85,81,9.86,1.24,1,Poor,High,Low,51.599999999999994
-53,85,25,171,5.94,4.1,1,Good,Medium,High,90.9
-115,31,116,139,0.65,4.02,1,Poor,High,Low,87.1
-74,46,11,590,0.6,4.73,1,Good,Low,Medium,87.9
-66,29,70,234,8.84,,1,Good,High,Low,56.01438888888889
-81,33,45,589,8.43,,1,Moderate,Medium,Low,62.1143888888889
-69,93,46,463,3.52,2.05,1,Good,Medium,High,78.4
-105,74,78,393,6.22,,1,Poor,High,High,85.71438888888889
-108,74,37,116,4.95,3.79,1,Poor,Medium,High,99.9
-91,90,20,112,9.67,1.5,1,Moderate,Medium,High,78.3
-102,10,13,150,9.5,4.03,1,Poor,Low,Low,74.9
-104,12,1,586,9.84,2.67,1,Poor,Low,Low,62.7
-58,55,71,143,8.68,3.97,1,Good,High,Medium,79.1
-102,64,108,208,9.1,1.38,1,Poor,High,Medium,70.0
-63,84,118,519,2.25,2.54,1,Good,High,High,77.9
-66,97,69,88,8.33,,1,Good,High,High,83.21438888888889
-59,95,100,491,7.12,4.72,1,Good,High,High,102.89999999999999
-98,73,100,521,9.63,1.33,1,Poor,High,High,71.9
-112,54,32,259,5.76,4.68,1,Poor,Medium,Medium,102.0
-109,35,104,492,0.94,4.02,1,Poor,High,Low,86.89999999999999
-120,86,5,181,6.01,3.65,1,Poor,Low,High,106.9
-63,74,115,26,6.9,3.93,1,Good,High,High,87.80000000000001
-120,33,89,303,2.28,3.03,1,Poor,High,Low,79.5
-87,83,102,403,4.0,1.22,1,Moderate,High,High,71.5
-73,44,104,507,6.03,0.95,0,Good,High,Medium,49.0
-120,33,36,228,3.8,4.33,1,Poor,Medium,Low,92.5
-105,37,13,243,3.81,3.63,1,Poor,Low,Low,82.6
-60,89,36,399,1.42,1.07,1,Good,Medium,High,64.30000000000001
-57,25,7,257,9.41,,0,Good,Low,Low,51.71438888888889
-58,68,102,61,7.53,2.24,0,Good,High,Medium,67.0
-52,90,76,24,0.11,0.79,1,Good,High,High,59.5
-99,63,12,333,7.68,2.66,1,Poor,Low,Medium,81.5
-54,88,39,450,7.42,1.41,1,Good,Medium,High,65.5
-95,25,106,121,0.2,0.48,0,Moderate,High,Low,43.3
-105,24,91,16,3.76,2.33,1,Poor,High,Low,64.4
-70,20,57,572,6.11,2.95,0,Good,Medium,Low,58.5
-64,74,17,254,4.58,0.23,0,Good,Low,High,51.1
-92,88,56,457,7.8,2.01,1,Moderate,Medium,High,82.89999999999999
-52,99,82,374,4.31,1.29,1,Good,High,High,68.1
-74,77,37,376,1.62,0.15,0,Good,Medium,High,54.5
-59,52,31,296,9.77,0.63,0,Good,Medium,Medium,44.8
-52,78,85,115,2.5,0.7,0,Good,High,High,53.800000000000004
-105,22,65,22,7.21,0.91,1,Poor,High,Low,49.4
-73,19,76,155,1.52,4.02,1,Good,High,Low,69.69999999999999
-82,84,86,487,3.36,,1,Moderate,High,High,82.81438888888889
-88,91,24,124,4.48,0.74,1,Moderate,Medium,High,70.19999999999999
-98,50,91,518,2.0,0.5,1,Poor,High,Medium,54.4
-111,59,57,161,4.55,1.49,1,Poor,Medium,Medium,71.8
-52,96,74,66,1.66,3.99,1,Good,High,High,93.9
-87,80,32,391,5.63,1.82,0,Moderate,Medium,High,76.3
-69,68,87,166,6.67,0.8,0,Good,High,Medium,55.900000000000006
-111,48,65,142,0.72,,1,Poor,High,Medium,77.1143888888889
-102,12,29,172,8.72,2.78,1,Poor,Medium,Low,63.19999999999999
-63,85,80,284,1.93,0.15,1,Good,High,High,54.4
-120,16,103,86,2.33,3.14,1,Poor,High,Low,73.80000000000001
-52,58,33,53,6.65,1.98,0,Good,Medium,Medium,58.6
-117,35,101,559,4.74,0.05,1,Poor,High,Low,49.6
-105,42,85,327,5.04,3.37,1,Poor,High,Medium,82.0
-97,57,68,543,1.37,3.56,1,Poor,High,Medium,87.5
-119,88,47,594,8.08,3.14,1,Poor,Medium,High,102.30000000000001
-89,11,39,163,6.21,1.71,0,Moderate,Medium,Low,48.2
-97,80,50,246,1.44,2.65,1,Poor,Medium,High,87.6
-109,41,79,526,3.8,1.94,1,Poor,High,Medium,68.5
-71,13,12,230,8.12,3.5,0,Good,Low,Low,61.5
-86,29,89,319,5.73,2.92,0,Moderate,High,Low,66.6
-88,45,30,186,1.18,0.41,0,Moderate,Medium,Medium,48.5
-88,41,115,229,3.79,3.22,0,Moderate,High,Medium,75.0
-60,37,38,47,2.5,3.44,0,Good,Medium,Low,67.2
-70,86,62,440,5.22,1.85,1,Good,High,High,73.9
-78,10,47,212,8.45,,1,Moderate,Medium,Low,52.01438888888889
-109,69,86,457,4.42,4.22,1,Poor,High,Medium,102.5
-54,65,47,504,4.39,0.88,0,Good,Medium,Medium,51.0
-56,44,60,134,9.06,4.52,1,Good,High,Medium,79.6
-88,39,11,74,5.8,2.2,0,Moderate,Low,Low,64.0
-81,63,77,253,5.71,3.62,1,Moderate,High,Medium,85.7
-78,45,55,536,2.69,4.07,1,Moderate,Medium,Medium,82.1
-77,64,17,235,6.12,2.53,0,Moderate,Low,Medium,74.0
-92,98,26,474,5.8,2.0,1,Moderate,Medium,High,86.8
-108,89,27,302,4.03,4.58,1,Poor,Medium,High,113.80000000000001
-109,67,81,390,9.91,1.15,1,Poor,High,Medium,71.0
-75,92,79,175,8.83,1.28,1,Good,High,High,72.10000000000001
-119,74,51,227,7.52,1.81,1,Poor,Medium,High,83.4
